ID,Fase,Tarefa,Dono,Prioridade,Esforço (h),Data alvo,Dependência,Status,Bloqueio — motivo,Última atualização,Áreas envolvidas
T1.1,F1 · Enquadramento,"Escrever o one-pager de escopo: objetivo, dentro, fora e definição de pronto",Luana,P0,3,28/08/2026,—,Não iniciado,,,—
T1.2,F1 · Enquadramento,Fechar as 4 métricas de sucesso com baseline atual e meta,Luana,P0,3,04/09/2026,T1.1,Não iniciado,,,Dados
T1.3,F1 · Enquadramento,Régua de segmentação do long tail: critério objetivo de qual varejo entra,Luiza,P0,4,28/08/2026,—,Não iniciado,,,"Comercial, Dados"
T1.4,F1 · Enquadramento,"Assumir o tracker: revisar tarefas, esforços e datas e travar as quatro views",Luana,P0,2,04/09/2026,—,Não iniciado,,,—
T1.5,F1 · Enquadramento,Importar as tarefas da quinzena no Painel de Demandas e travar o ritual de baixa,Luiza,P0,1,28/08/2026,—,Não iniciado,,,—
T1.6,F1 · Enquadramento,"Criar os convites da cadência: touchpoint ter/qui, bloco de sexta, status quinzenal e comitê mensal",Luiza,P0,1,04/09/2026,—,Não iniciado,,,—
T1.7,F1 · Enquadramento,Escrever as hipóteses que o piloto precisa testar,Luana,P1,2,04/09/2026,T1.2,Não iniciado,,,—
T1.8,F1 · Enquadramento,"Mapa de stakeholders: um ponto focal em Jurídico, Financeiro, People/DP, CS, Dados e MKT",Luiza,P1,3,04/09/2026,—,Não iniciado,,,Todas
T1.9,F1 · Enquadramento,Apresentar o enquadramento ao Lucas e fechar o escopo,Luana,P0,2,04/09/2026,"T1.1,T1.2",Não iniciado,,,Liderança
T2.1,F2 · Descoberta e escolha do modelo,Revisar a transcrição Amanda/Júlia x Thiago e extrair o direcional jurídico mínimo,Luana,P0,4,11/09/2026,—,Não iniciado,,,Jurídico
T2.2,F2 · Descoberta e escolha do modelo,"Lista de red flags e perguntas para o Thiago: o que pode remunerar por modelo, vínculo, exclusividade, uso de marca",Luana,P0,2,11/09/2026,T2.1,Não iniciado,,,Jurídico
T2.3,F2 · Descoberta e escolha do modelo,Sessão de 45 min com o Thiago para o direcional (não é o parecer formal),Luana,P0,2,18/09/2026,T2.2,Não iniciado,,,Jurídico
T2.4,F2 · Descoberta e escolha do modelo,"Ficha do modelo de representação comercial (DTX/Imperium): remuneração, territorialidade, sub-regionais, prazo de revisão",Luana,P0,5,18/09/2026,—,Não iniciado,,,—
T2.5,F2 · Descoberta e escolha do modelo,Ficha dos modelos alternativos: agência de promotor (orçamento-referência) e franquia (obrigação por região),Luana,P1,4,25/09/2026,—,Não iniciado,,,—
T2.6,F2 · Descoberta e escolha do modelo,Duas conversas de referência: Jérico/Imperium e um franqueado Stone regional,Luana,P1,3,02/10/2026,T2.4,Não iniciado,,,—
T2.7,F2 · Descoberta e escolha do modelo,"Baseline de aquisição: R$14/novo cliente, 1-2% de incentivo sobre originação e o CAC real do projeto da Mandinha",Luiza,P0,4,18/09/2026,—,Não iniciado,,,"Financeiro, Dados"
T2.8,F2 · Descoberta e escolha do modelo,Comparativo pró x contra com a recomendação de modelo e defesa ao Lucas,Luana,P0,4,25/09/2026,"T2.3,T2.4,T2.5,T2.7",Não iniciado,,,Liderança
T2.9,F2 · Descoberta e escolha do modelo,Inventário do onboarding do representante: tudo que ele precisa saber para representar a UME,Luiza,P0,5,25/09/2026,—,Não iniciado,,,—
T2.10,F2 · Descoberta e escolha do modelo,"Inventário do onboarding do varejo, no modelo do que foi feito com o Habit",Luiza,P0,4,11/09/2026,—,Não iniciado,,,Comercial
T2.11,F2 · Descoberta e escolha do modelo,Mapear com o time da Amanda o fluxo de cadastro de lojas/operadores e a distribuição de acessos,Luiza,P0,4,18/09/2026,—,Não iniciado,,,"Comercial, Tech"
T2.12,F2 · Descoberta e escolha do modelo,Gap de dados: o que o Looker já entrega contra o que o dash self-service precisa,Luiza,P1,4,25/09/2026,—,Não iniciado,,,Dados
T2.13,F3 · Desenho do modelo,Mapa de exceções: o que o atendimento resolve e o que sobra para o time interno,Luiza,P1,3,23/10/2026,—,Não iniciado,,,CS
T2.14,F3 · Desenho do modelo,Levantar o que existe hoje de peça de trade e de brand book,Luiza,P2,2,13/11/2026,—,Não iniciado,,,MKT
T3.1,F3 · Desenho do modelo,"Árvore de métricas: CAC como âncora, componente de recorrência e guardrails de FPD, MOIC e inadimplência",Luana,P0,5,02/10/2026,"T2.7,T2.8",Não iniciado,,,"Financeiro, Risco"
T3.2,F3 · Desenho do modelo,Modelar os 3 cenários de remuneração: 100% variável em CAC; CAC + recorrência; fixo + variável com gatilho,Luana,P0,8,09/10/2026,T3.1,Não iniciado,,,Financeiro
T3.3,F3 · Desenho do modelo,Business case: ponto de equilíbrio por carteira e custo de incentivo contra originação,Luana,P0,6,16/10/2026,T3.2,Não iniciado,,,Financeiro
T3.4,F3 · Desenho do modelo,"Regras de apuração e pagamento (parte em 30 dias, parte condicionada) e emissão de NF",Luana,P0,4,23/10/2026,T3.2,Não iniciado,,,"Financeiro, DP"
T3.5,F3 · Desenho do modelo,"Matriz de alçadas: o que o representante negocia (limite, juros, MDR) e o que a UME nunca terceiriza",Luana,P0,4,23/10/2026,T2.1,Não iniciado,,,"Risco, Crédito"
T3.6,F3 · Desenho do modelo,Parecer do Thiago sobre o cenário escolhido,Luana,P0,3,30/10/2026,"T3.3,T3.5",Não iniciado,,,Jurídico
T3.7,F3 · Desenho do modelo,"Minuta de contrato: prazos, métricas, custos, responsabilidades, territorialidade, LGPD e rescisão",Luana,P0,6,30/10/2026,T3.6,Não iniciado,,,Jurídico
T3.8,F3 · Desenho do modelo,"Perfil e critérios de seleção do representante, com People",Luana,P1,4,06/11/2026,—,Não iniciado,,,People
T3.9,F3 · Desenho do modelo,Estrutura hierárquica: quem é o dono do modelo na UME e por qual canal o representante fala com a gente,Luana,P1,3,06/11/2026,—,Não iniciado,,,People
T3.10,F3 · Desenho do modelo,"Trilha de onboarding do representante: conteúdo, roteiro e certificação de aptidão",Luiza,P0,8,02/10/2026,T2.9,Não iniciado,,,—
T3.11,F3 · Desenho do modelo,"Guia 'o que fazer com o varejo': ativação passo a passo, treinamento operacional e financeiro",Luiza,P0,8,09/10/2026,T2.10,Não iniciado,,,CS
T3.12,F3 · Desenho do modelo,"Spec do dash de operação self-service: consulta, venda, aprovação, conversão, filtros e export CSV",Luiza,P0,5,16/10/2026,T2.12,Não iniciado,,,Dados
T3.13,F3 · Desenho do modelo,Spec do dash financeiro e do CSV que sustenta a apuração da remuneração,Luiza,P0,4,23/10/2026,T3.1,Não iniciado,,,"Dados, Financeiro"
T3.14,F3 · Desenho do modelo,"'DP do representante': NF, prazo e forma de pagamento, canal oficial e acessos",Luiza,P1,4,30/10/2026,T3.4,Não iniciado,,,"DP, Tech"
T3.15,F3 · Desenho do modelo,Fluxo alvo de cadastro e acessos + SLA com o time da Amanda,Luiza,P1,5,30/10/2026,T2.11,Não iniciado,,,"Comercial, Tech"
T3.16,F3 · Desenho do modelo,"Guia de boas práticas (uniformização, promotor de loja) escrito como recomendação, nunca obrigação",Luiza,P1,3,06/11/2026,—,Não iniciado,,,"Jurídico, MKT"
T3.17,F3 · Desenho do modelo,FAQ e canais de atendimento do varejo,Luiza,P2,4,13/11/2026,T3.11,Não iniciado,,,CS
T3.18,F3 · Desenho do modelo,"Rotina de ongoing do representante: report, apuração, agenda de alinhamento e fluxo de exceção",Luiza,P1,4,06/11/2026,T2.13,Não iniciado,,,CS
T4.1,F4 · Prontidão operacional,Definir a carteira do piloto aplicando a régua de segmentação,Luana,P0,4,20/11/2026,T1.3,Não iniciado,,,"Comercial, Dados"
T4.2,F4 · Prontidão operacional,"Prospectar e selecionar o parceiro do piloto, avaliando usar a estrutura que já roda como piloto zero",Luana,P0,10,27/11/2026,T3.8,Não iniciado,,,People
T4.3,F4 · Prontidão operacional,Negociar e assinar o contrato do piloto,Luana,P0,6,04/12/2026,"T3.7,T4.2",Não iniciado,,,"Jurídico, Financeiro"
T4.4,F4 · Prontidão operacional,Cadastrar o parceiro como fornecedor e testar o ciclo apuração > NF > pagamento,Luana,P0,4,11/12/2026,T4.3,Não iniciado,,,"Financeiro, DP"
T4.5,F4 · Prontidão operacional,Status de fechamento do ano para o Lucas,Luana,P1,2,11/12/2026,—,Não iniciado,,,Liderança
T4.6,F4 · Prontidão operacional,Publicar o dash de operação e o dash financeiro com a carteira-piloto carregada,Luiza,P0,8,04/12/2026,"T3.12,T3.13,T4.1",Não iniciado,,,Dados
T4.7,F4 · Prontidão operacional,"Publicar o repositório de peças de trade e o recorte de brand book, com dono e SLA de atualização",Luiza,P0,5,20/11/2026,T2.14,Não iniciado,,,MKT
T4.8,F4 · Prontidão operacional,"Publicar os guias, o FAQ e os canais de atendimento",Luiza,P0,4,04/12/2026,"T3.11,T3.17",Não iniciado,,,"CS, MKT"
T4.9,F4 · Prontidão operacional,Rodar o onboarding e certificar o representante do piloto,Luiza,P0,8,11/12/2026,"T3.10,T4.3",Não iniciado,,,—
T4.10,F4 · Prontidão operacional,"Passar a carteira: lojas cadastradas, operadores e acessos na mão do representante",Luiza,P0,4,27/11/2026,"T3.15,T4.1",Não iniciado,,,Comercial
